name,type,location,farm_days
"Processador do Caos","Material de Fortalecimento de Arma e Personagem","Dropado pelos Soldados das Ruínas Nv.40+","Todos os dias"
"Parafuso do Caos","Material de Fortalecimento de Arma e Personagem","Dropado pelo Dragão das Ruínas Nv.60+","Todos os dias"
"Circuito do Caos","Material de Fortalecimento de Arma e Personagem","Dropado por Guardas das Ruínas Nv.40+","Todos os dias"
"Fornalha do Caos","Material de Fortalecimento de Arma e Personagem","Dropado por Guardas das Ruínas Nv.60+","Todos os dias"
"Dispositivo do Caos","Material de Fortalecimento de Arma e Personagem","Dropado por Guardas das Ruínas","Todos os dias"
"Mecanismo do Caos","Material de Fortalecimento de Arma e Personagem","Dropado pelos Soldados das Ruínas","Todos os dias"
"Módulo do Caos","Material de Fortalecimento de Arma e Personagem","Dropado pelo Dragão das Ruínas Nv.40+","Todos os dias"
"Olho do Caos","Material de Fortalecimento de Arma e Personagem","Dropado pelos Soldados das Ruínas Nv.60+","Todos os dias"
"Recipiente do Caos","Material de Fortalecimento de Arma e Personagem","Dropado pelo Dragão das Ruínas","Todos os dias"
"Capítulo de uma Corda Antiga","Material de Ascensão de Armas","Domínio da Forja: Consciência Robótica","Seg, Qui, Dom"
"Nadadeira Luz do Abismo","Material de Fortalecimento de Arma e Personagem","Dropado por Bestas Xuanwen Nv.60+","Todos os dias"
"Núcleo Quimérico","Material de Fortalecimento de Arma e Personagem","Dropado por Monstros Quiméricos Anômalos","Todos os dias"
"Bloco de Aerosiderite","Material de Ascensão de Armas","Domínio da Forja: Campo de Julgamento dos Trovões","Qua, Sáb, Dom"
"Clarim do Exército da Estrela Azul","Material de Ascensão de Armas","Domínio da Forja: Ferro Fundido","Seg, Qui, Dom"
"Coração Purificador","Material de Elevação de Personagem","Dropado pelos Oceanids de Nível 30+","Todos os dias"
"Jade Cristalino","Especialidade de Liyue","Encontrado na natureza","Todos os dias"
"Escamas de Linha das Nuvens","Material de Elevação de Personagem","Dropado por Suannis Solitários Nv.30+","Todos os dias"
"Núcleo da Vida Enrolado","Material de Fortalecimento de Arma e Personagem","Dropado por Leshy do Bosque Selvagem Nv.60+","Todos os dias"
"Pedaço de Concha Fria","Material de Fortalecimento de Arma e Personagem","Dropado por Furões da Montanha Concha de Fornalha","Todos os dias"
"Garra Escondida","Material de Fortalecimento de Arma e Personagem","Dropado por Caninos da Fenda","Todos os dias"
"Garra Fantasmagórica Oculta","Material de Fortalecimento de Arma e Personagem","Dropado por Caninos da Fenda Nv.60+","Todos os dias"
"Garra Afiada Oculta","Material de Fortalecimento de Arma e Personagem","Dropado por Caninos da Fenda Nv.40+","Todos os dias"
"Talismã de Bronze do Orvalho Florestal","Material de Ascensão de Armas","Domínio da Forja: Nuvens Contaminadas","Seg, Qui, Dom"
"Ramo de Coral de um Mar Distante","Material de Ascensão de Armas","Domínio da Forja: Grãos das Profundezas","Seg, Qui, Dom"
"Cor Lapis","Especialidade de Liyue","Encontrado nos Penhascos de Liyue","Todos os dias"
"Resina Falsificada","Material de Elevação de Personagem","Recompensa do Desafio de Dottore Nv.70+","Todos os dias"
"Coroa da Sabedoria","Material de Talento do Personagem","Recompensa de Evento por Tempo-Limitado","Todos os dias"
"Florescimento Cristalino","Material de Elevação de Personagem","Dropado pelo Hypostasis Cryo Nv.30+","Todos os dias"
"Poeira Cristalina de Cisto","Material de Fortalecimento de Arma e Personagem","Dropado por Cogumelos Nv.60+","Todos os dias"
"Medula de Cristal","Especialidade de Inazuma","Recomendação: Encontrado na Ilha Yashiori","Todos os dias"
"Prisma Cristalino","Material de Fortalecimento de Arma e Personagem","Dropado por Fatui - Dama de Snezhnaya Nv.40+","Todos os dias"
"Núcleo de Kuuvahki Militar Cíclico","Material de Elevação de Personagem","Dropado por Cruzador Terrestre Superpesado: Fortaleza Mecânica Nv.30+","Todos os dias"
"Sino do Vazio","Material de Elevação de Personagem","Recompensa do Desafio ""Shouki no Kami"" Nível 70+","Todos os dias"
"Máscara Danificada","Material de Fortalecimento de Arma e Personagem","Dropado por Hilichurls","Todos os dias"
"Prisma Danificado","Material de Fortalecimento de Arma e Personagem","Dropado pelas Estruturas Primordiais","Todos os dias"
"Sementes de Dandelion","Especialidade de Mondstadt","Recomendação: Encontrado nos portões de Mondstadt","Todos os dias"
"Escultura do Alvorecer","Material de Fortalecimento de Arma e Personagem","Dropado por Serpentes Negras Nv.40+","Todos os dias"
"Ramo Seco de Linha Ley","Material de Fortalecimento de Arma e Personagem","Dropado pelo Feiticeiro do Abismo","Todos os dias"
"Folha Morta de Linha Ley","Material de Fortalecimento de Arma e Personagem","Dropado pelo Feiticeiro do Abismo Nv.40+","Todos os dias"
"Escultura das Profundezas","Material de Fortalecimento de Arma e Personagem","Dropado por Serpentes Negras Nv.60+","Todos os dias"
"Detritos da Cidade de Decarabian","Material de Ascensão de Armas","Domínio da Forja: Cidade das Reflexões","Seg, Qui, Dom"
"Decadência do Santo Delirante","Material de Ascensão de Armas","Domínio da Forja: Observação Profunda","Ter, Sex, Dom"
"Aspecto do Santo Delirante","Material de Ascensão de Armas","Domínio da Forja: Observação Profunda","Ter, Sex, Dom"
"Desolação do Santo Delirante","Material de Ascensão de Armas","Domínio da Forja: Observação Profunda","Ter, Sex, Dom"
"Divindade do Santo Delirante","Material de Ascensão de Armas","Domínio da Forja: Observação Profunda","Ter, Sex, Dom"
"Dendróbio","Especialidade de Inazuma","Recomendação: Encontrado na Praia Nazuchi","Todos os dias"
"Veredito Negado","Material de Elevação de Personagem","Recompensa do Desafio da Serva Nv.70+","Todos os dias"
"Ferro Lunar Esgotado","Material de Fortalecimento de Arma e Personagem","Dropado por Matriz de Controle da Fonte Pioneira Secreta Nv. 40+","Todos os dias"
"Casco Destruído","Material de Fortalecimento de Arma e Personagem","Dropado pelas Bestas da Ossada Sagrada","Todos os dias"
"Orvalho da Repudiação","Material de Elevação de Personagem","Dropado por Hypostasis Hydro Nv.30+","Todos os dias"
"Prisma Sombrio","Material de Fortalecimento de Arma e Personagem","Dropado por Fatui - Dama de Snezhnaya","Todos os dias"
"Corpo Divino de Guyun","Material de Ascensão de Armas","Domínio da Forja: Altar da Tempestade","Seg, Qui, Dom"
"Pergaminho Guia","Material de Fortalecimento de Arma e Personagem","Dropado por Samachurls","Todos os dias"
"Núcleo Fúngico Adormecido","Material de Fortalecimento de Arma e Personagem","Dropado por Cogumelos (Estado Ativo) Nv.40+","Todos os dias"
"Dracolita","Especialidade de Natlan","Recomendação: Encontrado em Atocpan","Todos os dias"
"Barbatana Falsa do Dragão Herdeiro das Profundezas","Material de Elevação de Personagem","Dropado pelo Bando de Dragartos das Profundezas de Nv. 30+","Todos os dias"
"Coroa do Senhor dos Dragões","Material de Elevação de Personagem","Recompensa do Desafio de Azhdaha Nv.70+","Todos os dias"
"Sonho do Poder Escaldante","Material de Ascensão de Armas","Domínio da Forja: Prarabdha Karma","Qua, Sáb, Dom"
"Sonho do Gladiador de Dandelion","Material de Ascensão de Armas","Domínio da Forja: Ruínas da Capital Sedenta","Qua, Sáb, Dom"
"Gota de Água Impura","Material de Fortalecimento de Arma e Personagem","Dropado por Eidolons Hydro Contaminados","Todos os dias"
"Impureza da Gota de Orvalho Pura Sagrada","Material de Ascensão de Armas","Domínio da Forja: Artesanato","Ter, Sex, Dom"
"Garra do Vento Oriental","Material de Elevação de Personagem","Recompensa do Desafio de Stormterror Nv.70+","Todos os dias"
"Plumas do Vento Oriental","Material de Elevação de Personagem","Recompensa do Desafio de Stormterror Nv.70+","Todos os dias"
"Suspiro do Vento Oriental","Material de Elevação de Personagem","Recompensa do Desafio de Stormterror Nv.70+","Todos os dias"
"Eco de uma Corda Antiga","Material de Ascensão de Armas","Domínio da Forja: Consciência Robótica","Seg, Qui, Dom"
"Eco do Poder Escaldante","Material de Ascensão de Armas","Domínio da Forja: Prarabdha Karma","Qua, Sáb, Dom"
"Elixir do Herege","Material de Elevação de Personagem","Recompensa do Desafio de Dottore Nv.70+","Todos os dias"
"Brasas da Noite Eterna","Material de Ascensão de Armas","Domínio da Forja: Hino de Preces","Ter, Sex, Dom"
"Resolução do Imperador","Material de Elevação de Personagem","Dropado por Imperador do Fogo e Ferro Nv. 30+","Todos os dias"
"Néctar Elemental","Material de Fortalecimento de Arma e Personagem","Dropado por Flores Gigantes Nv.60+","Todos os dias"
"Minério de Refinamento","Material de Fortalecimento de Arma","Obtém ao Forjar","Todos os dias"
"Olhar Emaranhador","Material de Elevação de Personagem","Dropado por Umbo Tenebroso Nv.30+","Todos os dias"
"Chifre Erodido","Material de Elevação de Personagem","Recompensa do Desafio do Lorde do Fogo Original Erodido Nv. 70+","Todos os dias"
"Pluma-Escama Erodida","Material de Elevação de Personagem","Recompensa do Desafio do Lorde do Fogo Original Erodido Nv. 70+","Todos os dias"
"Chamas Solares Erodidas","Material de Elevação de Personagem","Recompensa do Desafio do Lorde do Fogo Original Erodido Nv. 70+","Todos os dias"
"Essência da Gota de Orvalho Pura Sagrada","Material de Ascensão de Armas","Domínio da Forja: Artesanato","Ter, Sex, Dom"
"Cristal Etéreo","Material de Fortalecimento de Arma e Personagem","Dropado por Feérico de Carne Cristalina Nv.40+","Todos os dias"
"Escama Cristalina Etérea","Material de Fortalecimento de Arma e Personagem","Dropado por Feérico de Carne Cristalina Nv.60+","Todos os dias"
"Granizo Etéreo","Material de Elevação de Arma e Personagem","Dropado por Feérico de Carne Cristalina","Todos os dias"
"Mariposa Etérea","Especialidade de Mondstadt","Recomendação: Encontrado no Pico do Repouso do Vento, Templo do Espaço","Todos os dias"
"Âmbar Eterno","Material de Elevação de Personagem","Recompensa do Desafio Guardião do Oásis de Apep de Nv.70+","Todos os dias"
"Semente de Fogo Eterno","Material de Elevação de Personagem","Dropado por Regisvine Pyro Nv.30+","Todos os dias"
"Anel da Melancolia Eterna","Material de Elevação de Personagem","Dropado pelos Batizadores Iníquos de Nv.30+","Todos os dias"
"Hilaridade do Néctar Espiritual","Material de Ascensão de Armas","Domínio da Forja: Corrente de Trilho","Ter, Sex, Dom"
"Cabo Flamejante Desvanecido","Material de Fortalecimento de Arma e Personagem","Dropado por Guardiões do Reino","Todos os dias"
"Cetim Vermelho Desbotado","Material de Fortalecimento de Arma e Personagem","Dropado pelos Eremitas","Todos os dias"
"Vela Desvanecendo","Material de Elevação de Personagem","Recompensa do Desafio da Serva Nv.70+","Todos os dias"
"Protetor de Mão Famoso","Material de Fortalecimento de Arma e Personagem","Dropado pelos Nobushi Nv. 60+","Todos os dias"
"Nadadeira Emplumada","Material de Fortalecimento de Arma e Personagem","Dropado por Bestas Xuanwen","Todos os dias"
"Grilhões de Dandelion","Material de Ascensão de Armas","Domínio da Forja: Ruínas da Capital Sedenta","Qua, Sáb, Dom"
"Minério de Refinamento Fino","Material de Fortalecimento de Arma","Obtém ao Forjar","Todos os dias"
"Ponta de Flecha Robusta","Material de Fortalecimento de Arma e Personagem","Dropado por Hilichurls Arqueiros","Todos os dias"
"Labareda da Noite Eterna","Material de Ascensão de Armas","Domínio da Forja: Hino de Preces","Ter, Sex, Dom"
"Ervaglomerada","Especialidade de Snezhnaya","Recomendação: Encontrado no Pico da Geada","Todos os dias"
"Fungos Fluorescentes","Especialidade de Inazuma","Recomendação: Coletável em Tsurumi","Todos os dias"
"Chifre de Água do Mar Primoridal","Material de Elevação de Personagem","Dropado por Cavalo-marinho Perolado Milenar Nv. 30+","Todos os dias"
"Pergaminho da Maldição","Material de Fortalecimento de Arma e Personagem","Dropado por Samachurls Nv.60+","Todos os dias"
"Sinapse Alienígena","Material de Fortalecimento de Arma e Personagem","Dropado por Primofissurador Nv. 40+","Todos os dias"
"Fragmento de osso fossilizado","Material de Fortalecimento de Arma e Personagem","Dropado pelas Crias de Dragartos Geo de Nível 60+","Todos os dias"
"Olho Fraturado da Sombra Profunda","Material de Fortalecimento de Arma e Personagem","Dropado por Pescadores das Profundezas","Todos os dias"
"Cabo Flamenjante Fraturado","Material de Fortalecimento de Arma e Personagem","Dropado por Guardiões do Reino Nv.40+","Todos os dias"
"Ferro Lunar Fraturado","Material de Fortalecimento de Arma e Personagem","Dropado por Matriz de Controle da Fonte Pioneira Secreta","Todos os dias"
"Fragmento de osso frágil","Material de Fortalecimento de Arma e Personagem","Dropado por Crias de Dragarto Geo","Todos os dias"
"Fragmento da Melodia Dourada","Material de Elevação de Personagem","Dropado por Legatus Golem Nv.30+","Todos os dias"
"Fragmento de uma Corda Antiga","Material de Ascensão de Armas","Domínio da Forja: Consciência Robótica","Seg, Qui, Dom"
"Fragmentos Épicos da Decarabian","Material de Ascensão de Armas","Domínio da Forja: Cidade das Reflexões","Seg, Qui, Dom"
"Garantia Gélida","Material de Fortalecimento de Arma e Personagem","Dropado por Oprichniki Fatui Nv.60+","Todos os dias"
"Flor Imortal Gélida","Especialidade de Snezhnaya","Recomendação: Encontrado próximo a Snezhnograd","Todos os dias"
"Flor da Geada","Especialidade de Nod-Krai","Recomendação: Encontrado no Cemitério da Noite","Todos os dias"
"Cintilar da Geada Noturna","Material de Fortalecimento de Arma e Personagem","Dropado por Herdeiro da Geada Noturna","Todos os dias"
"Glória da Geada Noturna","Material de Fortalecimento de Arma e Personagem","Dropado por Herdeiro da Geada Noturna Nv.60+","Todos os dias"
"Incandescência da Geada Noturna","Material de Fortalecimento de Arma e Personagem","Dropado por Herdeiro da Geada Noturna Nv.40+","Todos os dias"
"Esporo de Cogumelo Flutuante","Material de Fortalecimento de Arma e Personagem","Dropado por Cogumelos","Todos os dias"
"Escama Dourada","Material de Elevação de Personagem","Recompensa do Desafio de Azhdaha Nv.70+","Todos os dias"
"Lírio de Vidro","Especialidade de Liyue","Recomendação: Encontrado no Monte Tianheng","Todos os dias"
"Escultura Sombria","Material de Fortalecimento de Arma e Personagem","Dropado por Serpentes Negras","Todos os dias"
"Cogumelo Brilhante","Especialidade de Natlan","Recomendação: encontrado na Cordilheira Tezcatepetonco","Todos os dias"
"Restos da Luz Rara","Material de Fortalecimento de Arma e Personagem","Dropado por Feras Radiantes Nv.40+","Todos os dias"
"Ramo Dourado de um Mar Distante","Material de Ascensão de Armas","Domínio da Forja: Grãos das Profundezas","Seg, Qui, Dom"
"Samambaia Dourada","Especialidade de Snezhnaya","Recomendação: Encontrado no Vale da Pluma Flamejante","Todos os dias"
"Cálice de Ouro do Mar Pristino","Material de Ascensão de Armas","Domínio da Forja: Mecanismos Engenhosos","Qua, Sáb, Dom"
"Insígnia de Corvo Dourado","Material de Fortalecimento de Arma e Personagem","Dropado pelos Ladrões de Tesouro Nv.60+","Todos os dias"
"Talismã de Ouro do Orvalho Florestal","Material de Ascensão de Armas","Domínio da Forja: Nuvens Contaminadas","Seg, Qui, Dom"
"Núcleo da Fonte Secreta com Inscrição Dourada","Material de Elevação de Personagem","Dropado por Autômato da Fonte Secreta: Mecanismo Construtivo Nv. 30+","Todos os dias"
"Grão de Aerosiderite","Material de Ascensão de Armas","Domínio da Forja: Campo de Julgamento dos Trovões","Qua, Sáb, Dom"
"Guia da Admoestação","Material de Talento do Personagem","Domínio da Proficiência: Lua Cheia","Seg, Qui, Dom"
"Guia de Poemas","Material de Talento do Personagem","Domínio da Proficiência: Reino do Sono","Qua, Sáb, Dom"
"Guia da Caridade","Material de Talento do Personagem","Domínio da Proficiência: Contemplação","Seg, Qui, Dom"
"Guia do Conflito","Material de Talento do Personagem","Domínio da Proficiência: Retorno","Qua, Sáb, Dom"
"Guia da Disputa","Material de Talento do Personagem","Domínio da Proficiência: Transição","Seg, Qui, Dom"
"Guia de Esforço","Material de Talento do Personagem","Domínio da Proficiência: Coração das Chamas","Ter, Sex, Dom"
"Guia da Cultura","Material de Talento do Personagem","Domínio da Proficiência: Vale dos Raios","Ter, Sex, Dom"
"Guia do Elísio","Material de Talento do Personagem","Domínio da Proficiência: Legado Sombrio","Ter, Sex, Dom"
"Guia da Igualdade","Material de Talento do Personagem","Domínio da Proficiência: Ritmo Melódico","Seg, Qui, Dom"
"Guia da Tenacidade","Material de Talento do Personagem","Domínio da Proficiência: Eremitério","Ter, Sex, Dom"
"Guia da Liberdade","Material de Talento do Personagem","Domínio da Proficiência: Altar Congelado","Seg, Qui, Dom"
"Guia da Glória","Material de Talento do Personagem","Domínio da Proficiência: Visão Compartilhada","Qua, Sáb, Dom"
"Guia de Ouro","Material de Talento do Personagem","Domínio da Proficiência: Círculos de Fogo","Qua, Sáb, Dom"
"Guia da Engenhosidade","Material de Talento do Personagem","Domínio da Proficiência: Sarcasmo","Ter, Sex, Dom"
"Guia da Justiça","Material de Talento do Personagem","Domínio da Proficiência: Retórica","Ter, Sex, Dom"
"Guia da Ignição","Material de Talento do Personagem","Domínio da Proficiência: Alienação","Ter, Sex, Dom"
"Guia da Luz Celeste","Material de Talento do Personagem","Domínio da Proficiência: Cidade Abandonada ao Kudzu","Qua, Sáb, Dom"
"Guia do Luar","Material de Talento do Personagem","Domínio da Proficiência: Cidade Caída","Seg, Qui, Dom"
"Guia da Ordem","Material de Talento do Personagem","Domínio da Proficiência: Recital Cristalino","Qua, Sáb, Dom"
"Guia da Práxis","Material de Talento do Personagem","Domínio da Proficiência: Cânone Páli","Qua, Sáb, Dom"
"Guia de Prosperidade","Material de Talento do Personagem","Domínio da Proficiência: Altar de Chamas","Seg, Qui, Dom"
"Guia de Resistência","Material de Talento do Personagem","Domínio da Proficiência: Abismo Congelante","Ter, Sex, Dom"
"Guia do Mundo Mortal","Material de Talento do Personagem","Domínio da Proficiência: País Violeta","Seg, Qui, Dom"
"Guia da Peregrinação","Material de Talento do Personagem","Domínio da Proficiência: Poleiro Virado","Qua, Sáb, Dom"
"Coração da Fonte Secreta","Material de Fortalecimento de Arma e Personagem","Dropado por Autômato da Fonte Secreta: Caçador-Perseguidor Nv. 60+","Todos os dias"
"Chifre Pesado","Material de Fortalecimento de Arma e Personagem","Dropado por Mitachurls","Todos os dias"
"Borboleta das Chamas Infernais","Material de Elevação de Personagem","Recompensa do Desafio de Signora Nv.70+","Todos os dias"
"Bagas de Espinheiro","Especialidade de Sumeru","Encontrado nos desertos de Sumeru","Todos os dias"
"EXP do Herói","Material de EXP de Personagem","Recompensa de Evento Aleatório","Todos os dias"
"Núcleo de Geada","Material de Elevação de Personagem","Dropado por Regisvine Cryo Nv.30+","Todos os dias"
"Raiz da Vida Seca","Material de Fortalecimento de Arma e Personagem","Dropado por Leshy do Bosque Selvagem","Todos os dias"
"Bico da Sombra Profunda","Material de Fortalecimento de Arma e Personagem","Dropado por Pescadores das Profundezas Nv.60+","Todos os dias"
"Faca de Caça","Material de Fortalecimento de Arma e Personagem","Dropado pelos Cobradores de Dívidas Fatui","Todos os dias"
"Semente de Furacão","Material de Elevação de Personagem","Dropado pelo Hypostasis Anemo Nv.30+","Todos os dias"
"Semente da Vida em Chamas","Material de Fortalecimento de Arma e Personagem","Dropado por Avatar de Lava Nv. 40+","Todos os dias"
"Olho Que Tudo Vê em Chamas","Material de Fortalecimento de Arma e Personagem","Dropado por Avatar de Lava Nv. 60+","Todos os dias"
"Pedra em Chamas","Material de Fortalecimento de Arma e Personagem","Dropado por Avatar de Lava","Todos os dias"
"Folha Ilusória","Material de Fortalecimento de Arma e Personagem","Dropado por Mimiflora Abissal Nv.60+","Todos os dias"
"Garantia Imaculada","Material de Fortalecimento de Arma e Personagem","Dropado por Oprichniki Fatui Nv.40+","Todos os dias"
"Núcleo Fúngico Inerte","Material de Fortalecimento de Arma e Personagem","Dropado por Cogumelos (Estado Ativo)","Todos os dias"
"Faca Longa de Inspetor","Material de Fortalecimento de Arma e Personagem","Dropado pelos Agente de Dívidas Fatui Nv.60+","Todos os dias"
"Intoxicação do Néctar Espiritual","Material de Ascensão de Armas","Domínio da Forja: Corrente de Trilho","Ter, Sex, Dom"
"Talismã de Ferro do Orvalho Florestal","Material de Ascensão de Armas","Domínio da Forja: Nuvens Contaminadas","Seg, Qui, Dom"
"Ramo de Jade de um Mar Distante","Material de Ascensão de Armas","Domínio da Forja: Grãos das Profundezas","Seg, Qui, Dom"
"Ramo Perolado de um Mar Distante","Material de Ascensão de Armas","Domínio da Forja: Grãos das Profundezas","Seg, Qui, Dom"
"Cabo Flamejante Ornamentado","Material de Fortalecimento de Arma e Personagem","Dropado por Guardiões do Reino Nv.60+","Todos os dias"
"Pimenta de Jueyun","Especialidade de Liyue","Recomendação: Encontrado na Vila Qingce","Todos os dias"
"Presa Juvenil","Material de Fortalecimento de Arma e Personagem","Dropado por Saurianos de Natlan","Todos os dias"
"Jade Juvenil","Material de Elevação de Personagem","Dropado pelos Dragartos Geo de Nível 30+","Todos os dias"
"Protetor de Mão Kageuchi","Material de Fortalecimento de Arma e Personagem","Dropado pelos Nobushi Nv. 40+","Todos os dias"
"Lótus Kalpalata","Especialidade de Sumeru","Encontrado nas montanhas de Sumeru","Todos os dias"
"Flor da Luz do Lago","Especialidade de Fontaine","Recomendação: Encontrado na Floresta de Erinnyes","Todos os dias"
"Broto de Linha Ley","Material de Fortalecimento de Arma e Personagem","Dropado pelo Feiticeiro do Abismo Nv.60+","Todos os dias"
"Insígnia de Oficial","Material de Fortalecimento de Arma e Personagem","Dropado pelos Soldados dos Fatui Nv.60+","Todos os dias"
